anzThreads, gesamtzeit, mittel, varianz, abweichung
1, 1539, 1539.0, 0.0, 0.0
2, 3437, 1718.0, 2.5, 1.118033988749895
3, 7138, 2379.0, 16.333333333333332, 2.333333333333333
4, 9955, 2488.0, 287.75, 8.481597726843686
5, 12910, 2582.0, 97.6, 4.418144406874904
10, 45218, 4521.0, 1341.8, 11.583609109426993
20, 163562, 8178.0, 34075.6, 41.27687003637752
50, 800702, 16014.0, 3811251.52, 276.0888089003247
