anzThreads, gesamtzeit, mittel, varianz, abweichung
10, 7198, 719.0, 4532.0, 21.288494545176274
50, 168314, 3366.0, 223306.6, 66.8291253870646
100, 474112, 4741.0, 236011.62, 48.581027160816596
200, 1535321, 7676.0, 813356.665, 63.7713362334521
300, 2893540, 9645.0, 1801183.72, 77.48513233732864
400, 4342169, 10855.0, 4327078.4925, 104.00815463823017
500, 6184798, 12369.0, 6741304.676, 116.11463883593662
750, 12584110, 16778.0, 2.3793087912E7, 178.11265316085772
1000, 23009087, 23009.0, 3.0466839287E7, 174.54752730130554
