anzThreads, gesamtzeit, mittel, varianz, abweichung
10, 145176, 14517.0, 2.28025594E7, 1510.0516348787546
50, 772372, 15447.0, 9685754.24, 440.1307587524417
100, 1585273, 15852.0, 4993029.05, 223.45086820149075
200, 3256455, 16282.0, 2734857.895, 116.93711761027805
300, 5002038, 16673.0, 2461235.66, 90.57659116276494
400, 6817904, 17044.0, 2651608.605, 81.41880318759297
500, 8694542, 17389.0, 5348402.884, 103.42536327226507
750, 13846862, 18462.0, 8294709.882666667, 105.16469548707346
1000, 18814965, 18814.0, 9139603.095, 95.60127140890962
